time,numberOfPacketsTrans,numberOfPacketsRec,loss,bashliteRun
14:30:02,1,1,0%,2
14:30:03,1,1,0%,2
14:30:03,,,,2
14:30:04,,,,2
14:30:04,,,,2
14:30:05,,,,2
14:30:06,,,,2
14:30:06,,,,2
14:30:07,,,,2
14:30:07,,,,2
14:30:08,,,,2
14:30:08,,,,2
14:30:09,1,1,0%,2
14:30:09,1,1,0%,2
14:30:10,1,1,0%,2
14:30:11,1,1,0%,2
14:30:11,1,1,0%,2
14:30:12,1,1,0%,2
14:30:12,1,1,0%,2
14:30:13,1,1,0%,2
14:30:13,1,1,0%,2
14:30:14,1,1,0%,2
14:30:14,1,1,0%,2
14:30:15,1,1,0%,2
14:30:15,1,1,0%,2
14:30:16,1,1,0%,2
14:30:16,1,1,0%,2
14:30:17,1,1,0%,2
14:30:18,1,1,0%,2
14:30:18,1,1,0%,2
14:30:19,1,1,0%,2
14:30:19,1,1,0%,2
14:30:20,1,1,0%,2
14:30:20,1,1,0%,2
14:30:21,1,1,0%,2
14:30:21,1,1,0%,2
14:30:22,1,1,0%,2
14:30:22,1,1,0%,2
14:30:23,1,1,0%,2
14:30:24,1,1,0%,2
14:30:24,1,1,0%,2
14:30:25,1,1,0%,2
14:30:25,1,1,0%,2
14:30:26,1,1,0%,2
14:30:26,1,1,0%,2
14:30:27,1,1,0%,2
14:30:27,1,1,0%,2
14:30:28,1,1,0%,2
14:30:28,1,1,0%,2
14:30:29,1,1,0%,2
14:30:30,1,1,0%,2
14:30:30,1,1,0%,2
14:30:31,1,1,0%,2
14:30:31,1,1,0%,2
14:30:32,1,1,0%,2
14:30:32,1,1,0%,2
14:30:33,1,1,0%,2
14:30:33,1,1,0%,2
14:30:34,1,1,0%,2
14:30:34,1,1,0%,2
14:30:35,1,1,0%,2
14:30:36,1,1,0%,2
14:30:36,1,1,0%,2
14:30:37,1,1,0%,2
14:30:37,1,1,0%,2
14:30:38,1,1,0%,2
14:30:38,1,1,0%,2
14:30:39,1,1,0%,2
14:30:39,1,1,0%,2
14:30:40,1,1,0%,2
14:30:40,1,1,0%,2
14:30:41,1,1,0%,2
14:30:41,1,1,0%,2
14:30:42,1,1,0%,2
14:30:42,1,1,0%,2
14:30:43,1,1,0%,2
14:30:44,1,1,0%,2
14:30:44,1,1,0%,2
14:30:45,1,1,0%,2
14:30:45,1,1,0%,2
14:30:46,1,1,0%,2
14:30:46,1,1,0%,2
14:30:47,1,1,0%,2
14:30:47,1,1,0%,2
14:30:48,1,1,0%,2
14:30:49,1,1,0%,2
14:30:49,1,1,0%,2
14:30:50,1,1,0%,2
14:30:50,1,1,0%,2
14:30:51,1,1,0%,2
14:30:51,1,1,0%,2
14:30:52,1,1,0%,2
14:30:52,1,1,0%,2
14:30:53,1,1,0%,3
14:30:53,1,1,0%,3
14:30:54,1,1,0%,3
14:30:55,1,1,0%,3
14:30:55,1,1,0%,3
14:30:56,1,1,0%,3
14:30:56,1,1,0%,3
14:30:57,1,1,0%,3
14:30:57,1,1,0%,3
14:30:58,1,1,0%,3
14:30:58,1,1,0%,3
14:30:59,1,1,0%,3
14:31:00,1,1,0%,3
14:31:00,1,1,0%,3
14:31:01,1,1,0%,3
14:31:01,1,1,0%,3
14:31:02,1,1,0%,3
14:31:02,1,1,0%,3
14:31:03,1,1,0%,3
14:31:03,,,,3
14:31:04,,,,3
14:31:05,,,,3
14:31:05,,,,3
14:31:06,,,,3
14:31:06,,,,3
14:31:07,,,,3
14:31:07,,,,3
14:31:08,,,,3
14:31:08,1,1,0%,3
14:31:09,1,1,0%,3
14:31:09,1,1,0%,3
14:31:10,1,1,0%,3
14:31:10,1,1,0%,3
14:31:11,1,1,0%,3
14:31:12,1,1,0%,3
14:31:12,1,1,0%,3
14:31:13,1,1,0%,3
14:31:13,1,1,0%,3
14:31:14,1,1,0%,3
14:31:14,1,1,0%,3
14:31:15,1,1,0%,3
14:31:15,1,1,0%,3
14:31:16,1,1,0%,3
14:31:16,1,1,0%,3
14:31:17,1,1,0%,3
14:31:17,1,1,0%,3
14:31:18,1,1,0%,3
14:31:19,1,1,0%,3
14:31:19,1,1,0%,3
14:31:20,1,1,0%,3
14:31:20,1,1,0%,3
14:31:21,1,1,0%,3
14:31:21,1,1,0%,3
14:31:22,1,1,0%,3
14:31:22,1,1,0%,3
14:31:23,1,1,0%,3
14:31:23,1,1,0%,3
14:31:24,1,1,0%,3
14:31:24,1,1,0%,3
14:31:25,1,1,0%,3
14:31:26,1,1,0%,3
14:31:26,1,1,0%,3
14:31:27,1,1,0%,3
14:31:27,1,1,0%,3
14:31:28,1,1,0%,3
14:31:28,1,1,0%,3
14:31:29,1,1,0%,3
14:31:29,1,1,0%,3
14:31:30,1,1,0%,3
14:31:30,1,1,0%,3
14:31:31,1,1,0%,3
14:31:31,1,1,0%,3
14:31:32,1,1,0%,3
14:31:33,1,1,0%,3
14:31:33,1,1,0%,3
14:31:34,1,1,0%,3
14:31:34,1,1,0%,3
14:31:35,1,1,0%,3
14:31:35,1,1,0%,3
14:31:36,1,1,0%,3
14:31:36,1,1,0%,3
14:31:37,1,1,0%,3
14:31:37,1,1,0%,3
14:31:38,1,1,0%,3
14:31:38,1,1,0%,3
14:31:39,1,1,0%,3
14:31:40,1,1,0%,3
14:31:40,1,1,0%,3
14:31:41,1,1,0%,3
14:31:41,1,1,0%,3
14:31:42,1,1,0%,3
14:31:42,1,1,0%,3
14:31:43,1,1,0%,3
14:31:43,1,1,0%,3
14:31:44,1,1,0%,3
14:31:45,1,1,0%,3
14:31:45,1,1,0%,3
14:31:46,1,1,0%,3
14:31:46,1,1,0%,3
14:31:47,1,1,0%,3
14:31:47,1,1,0%,3
14:31:48,1,1,0%,3
14:31:48,1,1,0%,3
14:31:49,1,1,0%,3
14:31:49,1,1,0%,3
14:31:50,1,1,0%,3
14:31:51,1,1,0%,3
14:31:51,1,1,0%,3
14:31:52,1,1,0%,3
14:31:52,1,1,0%,3
14:31:53,1,1,0%,3
14:31:53,1,1,0%,3
14:31:54,1,1,0%,3
14:31:54,1,1,0%,3
14:31:55,1,1,0%,3
14:31:55,1,1,0%,3
14:31:56,1,1,0%,3
14:31:57,1,1,0%,3
14:31:57,1,1,0%,3
14:31:58,1,1,0%,3
14:31:58,1,1,0%,3
14:31:59,1,1,0%,3
14:31:59,1,1,0%,3
14:32:00,1,1,0%,3
14:32:00,1,1,0%,3
14:32:01,1,1,0%,3
14:32:01,1,1,0%,3
14:32:02,1,1,0%,3
14:32:03,1,1,0%,3
14:32:03,1,1,0%,3
14:32:04,,,,3
14:32:04,,,,3
14:32:05,,,,3
14:32:05,,,,3
14:32:06,,,,3
14:32:06,,,,3
14:32:07,,,,3
